_id,firstName,lastName,code,username,email,avatar,name,role,password,details,state
$User~~Fredrick51,Fredrick,Lehner,act10,Fredrick51,Fredrick_Lehner93@yahoo.com,https://s3.amazonaws.com/uifaces/faces/twitter/nilshoenson/128.jpg,Fredrick Lehner,ADMIN,c9d9b8cab32214716ee1b44b3aae2502,International Operations Liaison,ACTIVE_
$User~~2,Edwardo,McKenzie,act2,Edwardo45,Edwardo_McKenzie91@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/scott_riley/128.jpg,Edwardo McKenzie,USER,c9d9b8cab32214716ee1b44b3aae2502,Forward Factors Strategist,ACTIVE_
$User~~1,Keenan,Leffler,act1,Keenan_Leffler75,Keenan_Leffler@hotmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/silv3rgvn/128.jpg,Keenan Leffler,USER,c9d9b8cab32214716ee1b44b3aae2502,Legacy Group Liaison,ACTIVE_
$User~~7,Cristal,Balistreri,act7,Cristal.Balistreri85,Cristal.Balistreri81@hotmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/guillemboti/128.jpg,Cristal Balistreri,USER,c9d9b8cab32214716ee1b44b3aae2502,Lead Markets Officer,ACTIVE_
$User~~4,Jerrod,Dibbert,act4,Jerrod.Dibbert18,Jerrod72@yahoo.com,https://s3.amazonaws.com/uifaces/faces/twitter/psaikali/128.jpg,Jerrod Dibbert,USER,c9d9b8cab32214716ee1b44b3aae2502,Corporate Directives Developer,ACTIVE_
$User~~1,Rhianna,Johns,act112,Rhianna.Johns80,Rhianna51@hotmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/mattsapii/128.jpg,Rhianna Johns,USER,c9d9b8cab32214716ee1b44b3aae2502,Investor Branding Administrator,ACTIVE_
$User~~2,Monserrat,Simonis,act113,Monserrat_Simonis97,Monserrat_Simonis@yahoo.com,https://s3.amazonaws.com/uifaces/faces/twitter/adamawesomeface/128.jpg,Monserrat Simonis,USER,c9d9b8cab32214716ee1b44b3aae2502,Dynamic Integration Analyst,ACTIVE_
$User~~3,Vergie,Stracke,act114,Vergie.Stracke15,Vergie_Stracke17@yahoo.com,https://s3.amazonaws.com/uifaces/faces/twitter/psaikali/128.jpg,Vergie Stracke Sr.,USER,c9d9b8cab32214716ee1b44b3aae2502,Dynamic Markets Architect,ACTIVE_
$User~~4,Keyon,Wolf,act115,Keyon_Wolf,Keyon84@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/jesseddy/128.jpg,Keyon Wolf,USER,c9d9b8cab32214716ee1b44b3aae2502,District Infrastructure Planner,ACTIVE_
$User~~5,Jerad,Buckridge,act116,Jerad_Buckridge,Jerad_Buckridge68@hotmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/conspirator/128.jpg,Jerad Buckridge,USER,c9d9b8cab32214716ee1b44b3aae2502,International Intranet Consultant,ACTIVE_
$User~~6,Ottis,Conn,act117,Ottis74,Ottis33@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/funwatercat/128.jpg,Ottis Conn,USER,c9d9b8cab32214716ee1b44b3aae2502,Future Program Executive,ACTIVE_
$User~~7,Hobart,MacGyver,act118,Hobart.MacGyver,Hobart_MacGyver38@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/thimo_cz/128.jpg,Hobart MacGyver,USER,c9d9b8cab32214716ee1b44b3aae2502,Regional Interactions Orchestrator,ACTIVE_
$User~~8,Brandon,Ondricka,act119,Brandon51,Brandon.Ondricka49@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/lebinoclard/128.jpg,Brandon Ondricka Jr.,USER,c9d9b8cab32214716ee1b44b3aae2502,Legacy Metrics Planner,ACTIVE_
$User~~9,Bonita,Collins,act120,Bonita33,Bonita_Collins@yahoo.com,https://s3.amazonaws.com/uifaces/faces/twitter/michaelbrooksjr/128.jpg,Bonita Collins,USER,c9d9b8cab32214716ee1b44b3aae2502,Central Identity Analyst,ACTIVE_
$User~~10,Lonie,Wiza,act121,Lonie_Wiza,Lonie_Wiza50@gmail.com,https://s3.amazonaws.com/uifaces/faces/twitter/loganjlambert/128.jpg,Lonie Wiza,USER,c9d9b8cab32214716ee1b44b3aae2502,Customer Division Coordinator,ACTIVE_
